LOTTO 2
1/2012 -  1 2 4 7 10 13 26 -  6 14 25 34
2/2012 -  4 6 10 13 15 28 31 -  3 9 24 30
3/2012 -  8 10 14 25 28 33 34 -  3 6 9 12
4/2012 -  14 15 20 21 23 29 30 -  3 5 13 31
5/2012 -  5 6 9 12 13 25 28 -  1 18 20 24
6/2012 -  4 9 10 20 24 30 34 -  8 15 21 33
7/2012 -  3 17 23 27 28 30 33 -  13 16 19 22
8/2012 -  1 11 15 19 20 29 32 -  2 6 8 14
9/2012 -  8 13 14 15 18 25 34 -  3 11 31 35
10/2012 -  9 11 14 22 23 31 33 -  13 32 34 35
11/2012 -  1 3 7 20 31 32 34 -  18 22 33 35
12/2012 -  3 6 9 12 27 28 31 -  4 18 23 35
13/2012 -  11 17 23 25 30 31 34 -  18 21 24 27
14/2012 -  3 10 16 20 23 27 34 -  1 12 25 35
15/2012 -  1 5 9 11 16 20 34 -  15 17 19 22
16/2012 -  6 8 14 17 22 23 27 -  1 3 7 11
17/2012 -  1 4 9 13 21 32 35 -  10 18 19 28
18/2012 -  2 9 10 16 17 18 35 -  4 22 25 34
19/2012 -  1 15 17 20 24 28 33 -  7 8 10 19
20/2012 -  1 2 17 21 23 26 27 -  4 24 28 34
21/2012 -  4 6 13 22 27 32 33 -  7 8 12 15
22/2012 -  2 3 7 14 33 34 35 -  8 12 28 31
23/2012 -  7 8 9 13 18 21 28 -  2 17 24 29
24/2012 -  6 8 9 14 25 31 35 -  3 4 17 34
25/2012 -  3 9 13 14 24 25 32 -  23 28 30 35
26/2012 -  2 17 18 19 22 23 33 -  3 27 31 32
27/2012 -  1 5 7 10 15 18 34 -  2 4 13 22
28/2012 -  3 4 12 14 23 28 35 -  2 7 25 26
29/2012 -  2 11 17 20 22 24 30 -  5 7 9 12
30/2012 -  7 8 9 13 27 33 35 -  5 12 28 32
31/2012 -  4 13 20 21 23 26 35 -  1 5 31 32
32/2012 -  4 8 19 23 27 30 31 -  7 10 12 25
33/2012 -  2 6 8 10 20 21 29 -  1 5 11 15
34/2012 -  1 12 14 15 24 30 34 -  4 11 18 21
35/2012 -  5 7 17 18 25 31 33 -  1 10 14 29
36/2012 -  5 15 16 25 32 33 34 -  20 24 30 35
37/2012 -  4 5 13 15 20 26 28 -  21 25 33 34
38/2012 -  1 10 15 21 23 31 32 -  11 17 18 24
39/2012 -  2 9 12 19 26 27 35 -  1 13 18 31
40/2012 -  4 14 16 24 25 26 32 -  3 17 23 30
41/2012 -  1 4 7 9 12 19 30 -  10 16 25 32
42/2012 -  4 12 13 15 21 32 35 -  2 8 27 33
43/2012 -  3 5 10 17 23 24 26 -  4 13 16 25
44/2012 -  8 9 11 15 25 26 27 -  7 21 30 35
45/2012 -  3 7 8 16 21 25 31 -  6 10 12 22
46/2012 -  3 9 17 18 22 30 34 -  6 8 15 25
47/2012 -  5 9 14 16 20 26 29 -  3 8 15 34
48/2012 -  3 8 10 19 30 32 33 -  2 4 6 9
49/2012 -  4 6 15 20 27 32 33 -  1 14 23 26
50/2012 -  4 10 13 14 16 25 28 -  1 9 15 18
51/2012 -  2 4 7 19 20 29 32 -  5 10 16 25
52/2012 -  1 2 8 13 21 24 30 -  7 12 33 34
1/2013 -  3 5 10 12 19 25 30 -  2 20 24 27
2/2013 -  3 10 12 14 25 27 31 -  15 18 21 23
3/2013 -  4 11 21 22 25 26 28 -  12 18 33 34
4/2013 -  12 18 22 24 29 34 35 -  3 13 26 30
5/2013 -  4 5 6 13 21 29 32 -  7 23 27 30
6/2013 -  4 6 10 14 21 23 30 -  5 27 28 32
7/2013 -  3 18 23 25 27 31 33 -  4 8 11 28
8/2013 -  3 4 12 15 17 22 23 -  2 9 13 18
9/2013 -  3 5 7 14 15 16 18 -  9 24 28 31
10/2013 -  11 17 21 24 25 30 32 -  12 19 26 31
11/2013 -  4 8 9 10 14 17 32 -  7 11 16 18
12/2013 -  1 9 10 15 19 23 24 -  3 14 28 32
13/2013 -  7 15 19 21 26 32 35 -  5 18 25 28
14/2013 -  1 11 20 28 30 32 33 -  2 6 12 13
15/2013 -  2 6 12 13 27 30 31 -  1 15 17 21
16/2013 -  8 14 20 21 22 24 27 -  5 7 16 29
17/2013 -  17 21 22 23 26 31 35 -  1 3 15 28
18/2013 -  3 5 10 13 28 33 35 -  6 11 14 24
19/2013 -  11 15 19 21 22 23 26 -  1 16 17 31
20/2013 -  2 5 6 9 18 19 34 -  8 10 20 23
21/2013 -  6 13 15 20 27 32 34 -  1 5 10 33
22/2013 -  4 5 9 17 22 23 26 -  1 11 13 24
23/2013 -  1 13 18 22 23 25 26 -  2 10 15 21
24/2013 -  1 6 7 10 15 20 30 -  14 16 26 32
25/2013 -  10 11 12 14 19 33 35 -  1 5 20 26

